average,best,worst,when,fail_rate
716.9,4,2293,2022-04-12 21:24:43.061593,,
668.0,5,2263,2022-04-14 08:10:43.076701,,
11.4,3,19,2022-04-14 08:19:05.579201,,
11.9,4,22,2022-04-14 18:59:29.269299,,
11.6,5,20,2022-04-14 19:00:22.240303,,
5.9,3,9,2022-04-14 23:29:12.835283,,
5.4,3,9,2022-04-14 23:59:16.918066,,
5.4,3,9,2022-04-15 00:03:18.676631,0.13945578231292516
5.4,3,9,2022-04-15 15:34:45.237501,0.139
5.6,3,10,2022-04-17 12:43:36.047629,0.18
5.4,3,9,2022-04-17 16:58:01.764608,0.139
5.4,3,9,2022-04-17 16:59:11.871254,0.122
10.0,4,16,2022-04-17 21:08:06.998901,0.81
10.1,3,15,2022-04-17 21:15:02.058967,0.867
5.9,3,10,2022-04-17 21:16:23.644352,0.204
5.4,3,10,2022-04-17 21:29:57.531046,0.085
5.4,3,8,2022-04-17 21:42:45.455029,0.112
5.4,3,8,2022-04-17 21:50:30.135766,0.112
5.3,3,8,2022-04-17 21:52:56.210520,0.102
5.3,3,10,2022-04-17 21:57:32.663850,0.0612
4.8,3,7,2022-04-17 22:32:20.439245,0.0238
4.7,3,7,2022-04-17 22:37:05.832316,0.017
4.7,3,7,2022-04-17 22:40:24.344255,0.017
4.7,3,7,2022-04-17 23:29:13.621794,0.017
4.6,3,7,2022-04-17 23:31:39.703393,0.0102
3.6,2,6,2022-04-17 23:38:34.653874,0.0
